Date,Mkt,Rf,Rm-Rf,S,B,SMB,H,L,HML,U,D,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
193701,0.0325,0.0001,0.0324,0.0842,0.038066667,0.046133333,0.08855,0.0527,0.03585,0.0543,0.0694,-0.0151,0.0817,0.035566667,0.08605,0.0502,0.0518,0.0669
193702,0.013,0.0002,0.0128,0.034466667,0.032333333,0.002133333,0.07025,0.01525,0.055,0.0446,0.0105,0.0341,0.031966667,0.029833333,0.06775,0.01275,0.0421,0.008
193703,-0.0035,0.0001,-0.0036,-0.0084,0.014733333,-0.023133333,0.0405,-0.02715,0.06765,0.0111,-0.0128,0.0239,-0.0109,0.012233333,0.038,-0.02965,0.0086,-0.0153
193704,-0.0742,0.0003,-0.0745,-0.113966667,-0.080066667,-0.0339,-0.12675,-0.07715,-0.0496,-0.1196,-0.08465,-0.03495,-0.116466667,-0.082566667,-0.12925,-0.07965,-0.1221,-0.08715
193705,-0.0086,0.0006,-0.0092,-0.019233333,-0.011566667,-0.007666667,-0.0341,0.0017,-0.0358,-0.01515,-0.02075,0.0056,-0.021733333,-0.014066667,-0.0366,-0.0008,-0.01765,-0.02325
193706,-0.0416,0.0003,-0.0419,-0.080333333,-0.047333333,-0.033,-0.08535,-0.0542,-0.03115,-0.05845,-0.0713,0.01285,-0.082833333,-0.049833333,-0.08785,-0.0567,-0.06095,-0.0738
193707,0.0889,0.0003,0.0886,0.1068,0.086966667,0.019833333,0.1016,0.1013,0.0003,0.1037,0.1071,-0.0034,0.1043,0.084466667,0.0991,0.0988,0.1012,0.1046
193708,-0.0486,0.0002,-0.0488,-0.0523,-0.053033333,0.000733333,-0.06545,-0.0421,-0.02335,-0.0631,-0.04755,-0.01555,-0.0548,-0.055533333,-0.06795,-0.0446,-0.0656,-0.05005
193709,-0.1354,0.0004,-0.1358,-0.215233333,-0.146566667,-0.068666667,-0.21105,-0.1654,-0.04565,-0.22425,-0.1554,-0.06885,-0.217733333,-0.149066667,-0.21355,-0.1679,-0.22675,-0.1579
193710,-0.0947,0.0002,-0.0949,-0.105766667,-0.109033333,0.003266667,-0.12615,-0.10855,-0.0176,-0.10705,-0.09435,-0.0127,-0.108266667,-0.111533333,-0.12865,-0.11105,-0.10955,-0.09685
193711,-0.0837,0.0002,-0.0839,-0.118366667,-0.084433333,-0.033933333,-0.10275,-0.1047,0.00195,-0.0889,-0.0908,0.0019,-0.120866667,-0.086933333,-0.10525,-0.1072,-0.0914,-0.0933
